ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"1.9.213.114","elite","AS4788","MY","TM TECHNOLOGY SERVICES SDN BHD","396","Tmnet, Telekom Malaysia Bhd","4153","socks4","2703","1","2024-05-11T05:09:38.103Z","94","288","307"
"167.86.74.155","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","21966","socks4","1315","2","2024-05-11T05:09:38.391Z","70","4900","6999"
"138.201.140.90","elite","AS24940","DE","Hetzner Online GmbH","22","Hetzner","15976","socks4","76","1","2024-05-11T05:09:38.098Z","100","7008","7013"
"202.183.9.154","elite","AS131736","ID","BIGNET","990","N/A","5678","socks4","2491","2","2024-05-11T05:09:33.489Z","80","5608","7038"
"103.55.88.53","transparent","AS134026","IN","Ultranet services private limited","187","Ultranet Services Private Limited","8080","http","375","8409","2024-05-11T05:09:33.595Z","100","58","58"
"124.41.240.177","elite","AS17501","NP","WorldLink Communications","205","N/A","52480","socks4","4589","1","2024-05-11T05:09:33.793Z","87","6154","7084"
"203.30.190.30","elite","AS209242","BZ","Cloudflare London, LLC","2","Umpire Associates LTD","80","socks4","1801","2","2024-05-11T05:09:33.590Z","100","6935","6935"
"103.212.93.217","elite","AS138312","IN","Best Telnet Services Private Limited","109","Best telnet services private limited","45639","socks4","70","1","2024-05-11T05:09:29.111Z","99","6997","7037"
"201.147.86.225","elite","AS8151","MX","UNINET","150","Gestión de direccionamiento UniNet","3128","socks4","4904","2","2024-05-11T05:09:29.192Z","100","6909","6939"
"177.104.192.122","elite","AS262632","BR","Grajaunet Telecomunicacoes Eireli","199","Grajaunet Telecomunicacoes Eireli","41443","socks4","740","1","2024-05-11T05:09:29.191Z","100","6999","7017"
"116.197.132.59","elite","AS58369","ID","PT. Fiber Networks Indonesia","261","FIBERNET","8291","socks4","72","1","2024-05-11T05:09:29.108Z","57","3990","7050"
"192.141.236.3","elite","AS267483","BR","MSE Serviço de Com. Multimídia EIRELI","175","MSE Serviço de Com. Multimídia EIRELI","5678","socks4","2504","82","2024-05-11T05:09:28.706Z","99","316","319"
"175.6.140.135","elite","AS63835","CN","No.293, Wanbao Avenue","205","Chinanet HN","38801","socks5","705","2","2024-05-11T05:09:28.792Z","88","6226","7052"
"200.95.184.62","transparent","AS264859","CL","Comunicaciones Cablevision Ltda.","237","Comunicaciones Cablevision Ltda","999","http","276","8383","2024-05-11T05:09:28.896Z","100","27","27"
"118.172.227.30","elite","AS23969","TH","TOT Public Company Limited","315","TOT Public Company Limited","5678","socks4","2194","1","2024-05-11T05:09:28.705Z","99","7044","7110"
"86.104.27.175","elite","AS29119","ES","Aire Networks Del Mediterraneo SL Unipersonal","40","Aire Networks Del Mediterraneo SL Unipersonal","7497","socks4","1767","2","2024-05-11T05:09:28.805Z","97","6819","7004"
"105.214.36.131","elite","AS16637","ZA","MTN SA","200","MTN SA","5678","socks4","442","2","2024-05-11T05:09:28.790Z","63","186","296"
"202.92.5.126","elite","AS135905","VN","INET","288","iNET Media Company Limited","44879","socks5","4001","83","2024-05-11T05:09:28.795Z","99","6999","7068"
"38.127.172.95","elite","AS174","US","Cogent Communications","78","Torlandia Trading SRL","46656","socks5","73","2","2024-05-11T05:09:23.794Z","100","7033","7047"
"134.209.239.109","elite","AS14061","DE","DigitalOcean, LLC","16","DigitalOcean, LLC","80","socks4","70","1","2024-05-11T05:09:23.790Z","87","6130","7035"
"185.105.239.31","elite","AS60631","IR","Pars Parva System LLC","97","Pars Parva System LTD","3128","socks4","4107","2","2024-05-11T05:09:22.906Z","99","6916","7019"
"106.240.89.60","elite","AS3786","KR","LG DACOM Corporation","282","Boranet","4145","socks4","4794","81","2024-05-11T05:09:22.804Z","100","329","329"
"149.202.76.10","elite","AS16276","FR","OVH SAS","6","OVH","55904","socks5","4601","86","2024-05-11T05:09:22.790Z","94","6465","6914"
"193.169.4.184","elite","AS49261","RU","Lekstar Communication Ltd","49","SVS-Telecom Ltd","10801","socks5","74","1","2024-05-11T05:09:22.998Z","99","6935","7027"
"209.143.1.244","elite","AS7106","US","Com Net, Inc","91","Com","80","socks4","4690","2","2024-05-11T05:09:22.800Z","100","7002","7028"
"209.14.112.6","elite","AS262186","CO","AGIS","182","Azteca Comunicaciones Colombia S. A. S","1080","socks4","3397","2","2024-05-11T05:09:22.806Z","92","264","288"
"147.182.229.154","elite","AS14061","US","DigitalOcean, LLC","153","DigitalOcean, LLC","7497","socks5","1006","2","2024-05-11T05:09:22.898Z","90","6308","7037"
"91.232.105.99","elite","AS49981","NL","WorldStream B.V.","11","WorldStream B.V","30112","socks4","73","1","2024-05-11T05:09:22.802Z","23","1624","6912"
"103.44.13.246","elite","AS133685","IN","SDN TELECOM PVT LTD","164","SDN Telecom PVT LTD","4145","socks4","1099","2","2024-05-11T05:09:22.793Z","100","291","291"
"201.251.155.249","elite","AS22927","AR","Telefonica de Argentina","291","Cooperativa Telefonica OYIKIL LTDA","5678","socks4","71","1","2024-05-11T05:09:22.794Z","99","6884","6947"
"103.47.93.217","elite","AS134058","IN","Broban Internet Services Pvt.ltd","180","Broban  PVT Ltd.","1080","socks4","71","2","2024-05-11T05:09:22.993Z","99","6946","7005"
"75.119.204.222","elite","AS26347","US","New Dream Network, LLC","155","New Dream Network, LLC","23456","socks5","71","2","2024-05-11T05:09:22.789Z","62","4362","6982"
"173.212.224.116","elite","AS51167","DE","Contabo GmbH","16","Contabo GmbH","50886","socks5","71","83","2024-05-11T05:09:20.291Z","100","7016","7043"
"51.195.209.238","elite","AS16276","GB","OVH SAS","9","Canya Eric","1080","socks5","71","2","2024-05-11T05:09:20.099Z","94","6609","7020"
"149.20.253.77","elite","AS18615","US","Mainstream Fiber Networks, LLC","98","Mainstream Fiber Networks, LLC","12551","socks4","4900","1","2024-05-11T05:09:20.302Z","100","6943","6958"
"178.212.48.18","elite","AS197025","PL","Lubuskie Sieci Swiatlowodowe Sp. z o. o.","94","Lubuskie Sieci Swiatlowodowe Sp. z o. o","5678","socks4","74","2","2024-05-11T05:09:20.292Z","100","7012","7031"
"89.191.237.89","elite","AS12389","RU","PJSC Rostelecom","89","PJSC Rostelecom","5678","socks4","2004","81","2024-05-11T05:09:20.297Z","99","6928","6980"
"185.244.30.43","elite","AS208476","BY","Freedom for Belarus","29","The PRIVACYFIRST Project","24301","socks4","1097","1","2024-05-11T05:09:20.300Z","97","6826","7059"
"75.119.201.47","elite","AS26347","US","New Dream Network, LLC","188","New Dream Network, LLC","45035","socks4","2504","1","2024-05-11T05:09:20.101Z","60","4193","6949"
"43.132.128.186","elite","AS132203","HK","Shenzhen Tencent Computer Systems Company Limited","295","Tencent Cloud Computing","24067","socks5","2899","1","2024-05-11T05:09:20.106Z","99","6828","6893"
"103.140.83.94","elite","AS132290","BD","The Net","198","The","4145","socks4","3294","1","2024-05-11T05:09:20.299Z","99","6953","7030"
"116.58.232.91","elite","AS131090","TH","CAT Telecom Public Company Limited","288","CAT BB","4145","socks4","406","1","2024-05-11T05:09:20.294Z","58","4042","6925"
"85.236.158.182","elite","AS53589","FR","PlanetHoster France","3","N/A","62783","socks5","2909","1","2024-05-11T05:09:20.298Z","99","140","141"
"221.226.48.54","elite","AS4134","CN","CHINANET jiangsu province network","193","N/A","10800","socks4","3699","1","2024-05-11T05:09:20.104Z","93","297","321"
"43.153.174.4","elite","AS132203","JP","Shenzhen Tencent Computer Systems Company Limited","254","Tencent Cloud Computing","443","socks5","4799","3","2024-05-11T05:09:20.295Z","67","4725","7049"
"192.210.196.222","elite","AS36352","US","ColoCrossing","138","RackNerd LLC","10800","socks4","1603","2","2024-05-11T05:09:14.197Z","99","6915","6997"
"103.104.214.239","elite","AS132480","PK","Netze Telecom (Private) Limited","155","Netze","1080","socks4","797","1","2024-05-11T05:09:14.201Z","82","163","200"
"103.87.212.15","elite","AS136429","BD","Arifuzzaman Auni","175","N/A","4153","socks4","70","1","2024-05-11T05:09:05.007Z","51","3584","7009"
"203.12.200.48","elite","AS23764","HK","CTHKI","219","N/A","12233","socks5","4501","2","2024-05-11T05:09:04.703Z","22","1522","6901"
